"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.0094818828310193,0.0138841855739925,0.0172705722993566,0.0389434473416864,0.117846258042668,0.569251608533694,0.831357941076871
"0.05",0.0494412461903149,0.0589231290213342,0.0745005079580088,0.136132746359634,0.332204537758212,0.81070098205215,0.934642736200474
"0.1",0.0995597697257027,0.118523535387741,0.143921435827972,0.258381307145276,0.52827632915679,0.901794784964443,0.965797494073823
"0.2",0.199458178123942,0.237385709448019,0.277345072807315,0.431087030138842,0.75143921435828,0.955299695225195,0.98306806637318
"0.3",0.299356586522181,0.345411445987132,0.399932272265493,0.58381307145276,0.88046054859465,0.976972570267525,0.993227226549272
"0.4",0.399593633592956,0.456146291906536,0.51879444632577,0.724686759227904,0.942092786996275,0.98780900778869,0.997629529292245
"0.5",0.499492041991195,0.559769725702675,0.626820182864883,0.844903487978327,0.970538435489333,0.9962749746021,0.999661361327464
"0.6",0.599390450389435,0.668811378259397,0.738909583474433,0.935658652218083,0.98780900778869,0.999322722654927,1
"0.7",0.69962749746021,0.773789366745682,0.848967152048764,0.976633931594988,0.997290890619709,1,1
"0.8",0.799525905858449,0.872671859126312,0.946495089739248,0.99525905858449,0.999661361327464,1,1
"0.9",0.899424314256688,0.974263460887233,0.994581781239418,0.999661361327464,1,1,1
"1",0.999661361327464,1,1,1,1,1,1
